Hello, World!
0, the ren, 20 
1, the ren, 20 
2, the ren, 20 
3, the ren, 20 
4, the ren, 20 
5, the ren, 20 
6, the ren, 20 
7, the ren, 20 
8, the ren, 20 
9, the ren, 20 
10, the ren, 20 
11, the ren, 20 
12, the ren, 20 
13, the ren, 20 
14, the ren, 20 
15, the ren, 20 
16, the ren, 20 
17, the ren, 20 
18, the ren, 20 
19, the ren, 20 
20, the ren, 20 
21, the ren, 20 
22, the ren, 20 
23, the ren, 20 
24, the ren, 20 
25, the ren, 20 
26, the ren, 20 
27, the ren, 20 
28, the ren, 20 
29, the ren, 20 
30, the ren, 20 
31, the ren, 20 
32, the ren, 20 
33, the ren, 20 
34, the ren, 20 
35, the ren, 20 
36, the ren, 20 
37, the ren, 20 
38, the ren, 20 
39, the ren, 20 
40, the ren, 20 
41, the ren, 20 
42, the ren, 20 
43, the ren, 20 
44, the ren, 20 
45, the ren, 20 
46, the ren, 20 
47, the ren, 20 
48, the ren, 20 
49, the ren, 20 
50, the ren, 20 
51, the ren, 20 
52, the ren, 20 
53, the ren, 20 
54, the ren, 20 
55, the ren, 20 
56, the ren, 20 
57, the ren, 20 
58, the ren, 20 
59, the ren, 20 
60, the ren, 20 
61, the ren, 20 
62, the ren, 20 
63, the ren, 20 
64, the ren, 20 
65, the ren, 20 
66, the ren, 20 
67, the ren, 20 
68, the ren, 20 
69, the ren, 20 
70, the ren, 20 
71, the ren, 20 
72, the ren, 20 
73, the ren, 20 
74, the ren, 20 
75, the ren, 20 
76, the ren, 20 
77, the ren, 20 
78, the ren, 20 
79, the ren, 20 
80, the ren, 20 
81, the ren, 20 
82, the ren, 20 
83, the ren, 20 
84, the ren, 20 
85, the ren, 20 
86, the ren, 20 
87, the ren, 20 
88, the ren, 20 
89, the ren, 20 
90, the ren, 20 
91, the ren, 20 
92, the ren, 20 
93, the ren, 20 
94, the ren, 20 
95, the ren, 20 
96, the ren, 20 
97, the ren, 20 
98, the ren, 20 
99, the ren, 20 
100, the ren, 20 
